Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,646.000000,652.400024,631.200012,639.200012,507.669952,9134122
2019-08-05,631.200012,639.599976,617.599976,637.000000,505.922607,21758819
2019-08-12,639.000000,645.400024,616.799988,619.599976,492.103058,16452225
2019-08-19,622.000000,646.599976,618.799988,636.000000,505.128357,18870293
2019-08-26,636.000000,650.599976,621.000000,632.400024,502.269226,21770872
2019-09-02,634.200012,641.000000,591.383972,613.000000,486.861145,29033423
2019-09-09,618.599976,659.590027,592.000000,655.599976,520.695129,27196700
2019-09-16,651.400024,658.400024,628.000000,646.000000,513.070557,22181970
2019-09-23,647.000000,653.000000,622.435974,645.599976,512.752930,26119585
2019-09-30,645.599976,650.799988,610.599976,620.599976,492.897308,23896903
2019-10-07,616.599976,660.000000,568.799988,654.400024,519.742126,31406717
2019-10-14,645.799988,702.799988,593.625000,674.200012,551.113159,48571068
2019-10-21,682.799988,690.200012,639.400024,646.000000,528.061462,18344099
2019-10-28,646.400024,654.799988,623.780029,634.000000,518.252380,15940578
2019-11-04,635.200012,645.000000,621.599976,626.799988,512.366882,15451146
2019-11-11,628.000000,657.400024,623.000000,651.799988,532.802795,17686109
2019-11-18,650.799988,668.200012,637.000000,659.400024,539.015198,25827880
2019-11-25,661.599976,690.000000,659.400024,666.799988,545.064209,18202548
2019-12-02,665.400024,672.000000,646.000000,668.599976,546.535583,14810618
2019-12-09,667.799988,767.400024,642.400024,765.000000,625.336060,30991571
2019-12-16,764.799988,776.400024,730.200012,739.200012,604.246338,34427086
2019-12-23,737.599976,755.190002,736.400024,746.000000,609.804932,4196952
2019-12-30,748.200012,757.400024,726.846008,746.000000,609.804932,5686713
2020-01-06,747.200012,770.461975,739.799988,756.200012,618.142639,17337515
2020-01-13,760.000000,802.000000,752.400024,799.400024,653.455811,21285954
2020-01-20,802.400024,824.117981,795.799988,809.599976,661.793518,16839387
2020-01-27,803.000000,810.200012,792.200012,802.799988,656.234985,16045540
2020-02-03,808.799988,979.539978,793.719971,799.400024,653.455811,25828511
2020-02-10,795.400024,979.539978,793.719971,870.599976,711.656921,22747546
2020-02-17,869.799988,889.195984,859.200012,863.200012,705.607910,26891850
2020-02-24,851.599976,855.200012,714.200012,757.200012,618.960083,43387398
2020-03-02,781.200012,785.599976,711.799988,732.000000,598.360779,33112883
2020-03-09,682.400024,702.799988,522.400024,526.599976,430.460083,39201409
2020-03-16,492.200012,502.000000,349.399994,408.200012,333.676056,62873032
2020-03-23,385.000000,478.100006,377.500000,453.000000,370.297058,48406449
2020-03-30,453.100006,468.200012,381.200012,384.299988,314.139374,40972387
2020-04-06,397.899994,531.000000,397.899994,512.400024,418.852570,28080034
2020-04-13,512.400024,522.656982,432.700012,485.700012,397.027100,36764286
2020-04-20,491.000000,528.400024,442.100006,517.799988,433.061279,29662479
2020-04-27,528.799988,560.828003,502.507996,530.799988,443.933807,42877617
2020-05-04,522.200012,547.799988,512.479980,530.799988,443.933807,18791756
2020-05-11,540.000000,548.000000,448.600006,478.100006,399.858246,28599476
2020-05-18,487.500000,509.675995,472.799988,495.000000,413.992554,26508544
2020-05-25,495.000000,544.599976,491.230011,497.000000,415.665192,37460647
2020-06-01,505.799988,554.400024,499.990997,550.200012,460.158966,25717949
2020-06-08,546.000000,584.640015,502.200012,525.799988,439.752045,20955676
2020-06-15,519.000000,554.541016,491.700012,508.200012,425.032349,26127060
2020-06-22,505.000000,527.000000,482.100006,501.600006,427.912964,17483572
2020-06-29,498.399994,508.799988,485.000000,490.299988,418.272980,16158196
2020-07-06,509.399994,547.000000,509.399994,543.599976,463.742950,20832676
2020-07-13,552.400024,554.200012,524.200012,541.599976,462.036743,14843338
2020-07-20,543.599976,552.400024,514.400024,518.799988,442.586212,10645803
2020-07-27,516.400024,547.400024,507.200012,510.600006,435.590851,14088903
2020-08-03,512.200012,530.799988,494.500000,510.600006,435.590851,16801138
2020-08-10,514.200012,522.599976,495.200012,511.799988,436.614502,13702435
2020-08-17,504.200012,537.000000,502.200012,522.000000,445.316101,16068191
2020-08-24,526.000000,532.000000,505.399994,525.200012,448.046051,15617607
2020-08-31,525.200012,552.000000,501.799988,501.799988,428.083588,24442443
2020-09-07,507.000000,522.799988,492.600006,506.200012,431.837189,22214039
2020-09-14,510.600006,511.799988,473.899994,473.899994,404.282196,27927731
2020-09-21,467.500000,470.399994,428.100006,455.000000,388.158661,30983357
2020-09-28,461.399994,493.000000,458.125000,491.100006,418.955444,18910957
2020-10-05,499.000000,547.599976,496.399994,542.599976,462.889801,36414339
2020-10-12,544.000000,562.599976,534.000000,536.799988,457.941925,30570949
2020-10-19,541.599976,543.799988,518.000000,541.000000,461.524963,17839139
2020-10-26,534.200012,543.799988,478.299988,482.500000,411.618835,28145742
2020-11-02,479.399994,541.799988,466.100006,541.400024,461.866211,21349888
2020-11-09,551.000000,626.400024,540.400024,619.400024,528.407715,32336088
2020-11-16,625.400024,670.200012,623.098022,648.799988,553.488708,26142221
2020-11-23,650.400024,659.599976,609.599976,629.000000,536.597412,22806605
2020-11-30,622.599976,674.200012,619.166016,653.599976,557.583496,30753239
2020-12-07,649.799988,653.400024,577.799988,583.400024,497.696259,18705025
2020-12-14,600.799988,661.400024,595.799988,650.000000,554.512451,23220828
2020-12-21,631.000000,699.799988,606.400024,688.000000,586.930054,9898308
2020-12-28,688.000000,704.599976,661.400024,670.000000,571.574280,5549906
2021-01-04,683.799988,725.599976,642.599976,720.000000,614.229126,27279894
2021-01-11,720.000000,721.200012,670.132996,695.599976,593.413574,17359273
2021-01-18,695.000000,709.200012,681.599976,693.200012,591.366150,12041988
2021-01-25,695.000000,699.799988,638.000000,638.799988,544.957642,41805185
2021-02-01,645.599976,713.038025,641.864014,710.000000,605.698242,20824727
2021-02-08,702.599976,712.799988,664.200012,680.000000,580.105347,20229748
2021-02-15,684.799988,712.200012,675.000000,684.400024,583.858948,17814849
2021-02-22,673.200012,701.599976,657.200012,664.400024,566.797058,15490687
2021-03-01,680.000000,732.599976,680.000000,713.400024,608.598694,21290866
2021-03-08,721.799988,765.200012,711.799988,749.799988,639.651306,19546979
2021-03-15,753.000000,889.549988,730.400024,770.000000,656.883972,20809953
2021-03-22,767.799988,787.400024,756.599976,770.599976,657.395752,16237539
2021-03-29,762.000000,787.400024,746.400024,764.000000,651.765320,11941831
2021-04-05,764.000000,799.400024,764.000000,794.599976,677.870056,14249564
2021-04-12,795.000000,797.599976,768.200012,784.000000,668.827332,14392155
2021-04-19,783.599976,793.335999,763.200012,782.400024,673.927551,9809254
2021-04-26,781.599976,789.799988,762.000000,772.000000,664.969421,9537396
