Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,3879.000000,3926.000000,3837.000000,3855.000000,3550.247314,812236
2019-08-05,3821.000000,3877.000000,3726.000000,3845.000000,3541.037598,2118828
2019-08-12,3845.000000,3887.000000,3765.000000,3829.000000,3526.302246,2197471
2019-08-19,3834.000000,3997.000000,3813.000000,3969.000000,3655.234619,2020343
2019-08-26,3969.000000,4012.000000,3775.000000,3917.000000,3626.140869,2422209
2019-09-02,3928.000000,3986.000000,3775.000000,3980.000000,3684.462891,2502313
2019-09-09,4085.000000,4209.000000,3920.000000,4208.000000,3895.532471,3055162
2019-09-16,4171.000000,4270.000000,4059.000000,4177.000000,3866.834229,2698850
2019-09-23,4155.000000,4219.000000,4112.000000,4187.000000,3876.092041,2436752
2019-09-30,4196.000000,4220.000000,3953.000000,4044.000000,3743.710205,2242971
2019-10-07,4023.000000,4416.779785,3921.000000,4355.000000,4031.616699,2819504
2019-10-14,4327.000000,4620.000000,4032.659912,4528.000000,4191.770508,4881384
2019-10-21,4539.000000,4622.000000,4354.000000,4406.000000,4078.830566,2474490
2019-10-28,4414.000000,4500.000000,4329.000000,4473.000000,4140.854492,2058919
2019-11-04,4494.000000,4500.000000,4381.000000,4450.000000,4119.562500,1804746
2019-11-11,4454.000000,4629.000000,4410.000000,4544.000000,4206.582520,2102682
2019-11-18,4544.000000,4646.000000,4333.000000,4460.000000,4128.820801,3061210
2019-11-25,4443.000000,4728.000000,4443.000000,4586.000000,4245.463867,2360794
2019-12-02,4594.000000,4625.000000,4478.000000,4556.000000,4217.691895,3009892
2019-12-09,4484.000000,5158.000000,4484.000000,5142.000000,4760.178223,4018546
2019-12-16,5154.000000,5294.000000,4884.000000,4922.000000,4556.513672,4648584
2019-12-23,4937.000000,4979.000000,4879.000000,4940.000000,4573.177734,2077778
2019-12-30,4955.000000,4978.000000,4858.500000,4881.000000,4518.558594,1162587
2020-01-06,4880.000000,4914.000000,4795.000000,4807.000000,4450.053711,2002054
2020-01-13,4845.000000,5068.000000,4776.000000,5040.000000,4665.751953,2550998
2020-01-20,5090.000000,5504.000000,5053.435059,5406.000000,5004.574219,2191048
2020-01-27,5350.000000,5374.000000,5188.000000,5240.000000,4850.900391,3564752
2020-02-03,5248.000000,5386.000000,5098.000000,5122.000000,4741.663086,2730915
2020-02-10,5078.000000,5404.000000,5046.000000,5324.000000,4928.663574,2640262
2020-02-17,5330.000000,5562.000000,5304.520020,5470.000000,5063.822266,3929694
2020-02-24,5392.000000,5397.475098,4574.000000,4754.000000,4400.988770,3566018
2020-03-02,4891.000000,4960.728027,4552.000000,4630.000000,4286.196777,3160648
2020-03-09,4326.000000,4498.000000,3568.000000,3619.000000,3350.269043,4539122
2020-03-16,3459.000000,3678.000000,3041.000000,3395.000000,3142.902588,8191032
2020-03-23,3249.000000,3790.000000,3055.000000,3644.000000,3473.856201,7953495
2020-03-30,3636.000000,3736.000000,3293.000000,3386.000000,3227.902588,3136470
2020-04-06,3441.000000,4143.000000,3400.000000,3975.000000,3789.401367,3148712
2020-04-13,3975.000000,4112.000000,3646.000000,4027.000000,3838.973145,3122219
2020-04-20,4101.000000,4348.834961,3888.000000,4332.000000,4129.732910,6483182
2020-04-27,4380.000000,4440.000000,4090.000000,4201.000000,4004.849121,6090819
2020-05-04,4138.000000,4289.000000,4065.909912,4268.000000,4068.720703,1828394
2020-05-11,4296.000000,4340.000000,3859.000000,4009.000000,3821.813721,3385068
2020-05-18,4076.000000,4192.443848,3840.000000,3961.000000,3776.054932,6286020
