Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2819.000000,2899.000000,2819.000000,2851.000000,2511.641357,2422797
2019-08-05,2836.000000,2846.000000,2671.000000,2734.000000,2408.568115,5338788
2019-08-12,2722.000000,2769.943115,2669.000000,2716.000000,2392.710693,3279026
2019-08-19,2718.000000,2744.000000,2659.000000,2668.000000,2350.424072,3490446
2019-08-26,2668.000000,2743.000000,2630.004883,2730.000000,2405.043945,4421642
2019-09-02,2738.000000,2859.000000,2736.000000,2811.000000,2476.402588,2736561
2019-09-09,2804.000000,2812.000000,2594.000000,2598.000000,2288.756348,4083294
2019-09-16,2582.000000,2710.000000,2567.000000,2632.000000,2318.709229,4901434
2019-09-23,2622.000000,2678.000000,2576.000000,2649.000000,2333.685791,4553083
2019-09-30,2638.000000,2680.000000,2505.000000,2589.000000,2280.827393,3025378
2019-10-07,2568.000000,2601.000000,2496.000000,2542.000000,2239.421875,3125610
2019-10-14,2539.000000,2548.000000,2381.000000,2406.000000,2119.610596,5657311
2019-10-21,2408.000000,2431.000000,2310.000000,2327.000000,2050.013916,3128397
2019-10-28,2333.000000,2424.000000,2296.000000,2355.000000,2074.680664,5318173
2019-11-04,2350.000000,2386.000000,2309.000000,2366.000000,2084.371582,4009531
2019-11-11,2372.000000,2620.844971,2331.000000,2476.000000,2181.278076,6486780
2019-11-18,2488.000000,2506.354004,2370.000000,2485.000000,2189.206787,4554290
2019-11-25,2486.000000,2622.000000,2468.000000,2579.000000,2272.017822,4927451
2019-12-02,2580.000000,2592.000000,2476.000000,2512.000000,2212.992676,5658103
2019-12-09,2518.000000,2518.000000,2414.000000,2478.000000,2183.039795,3692186
2019-12-16,2491.000000,2584.000000,2471.000000,2528.000000,2227.088379,6632845
2019-12-23,2537.000000,2613.000000,2528.000000,2603.000000,2293.161133,1102872
2019-12-30,2614.000000,2615.000000,2551.000000,2605.000000,2294.923096,1608388
2020-01-06,2590.000000,2685.000000,2577.000000,2661.000000,2344.257324,3243051
2020-01-13,2673.000000,2786.280029,2639.000000,2766.000000,2436.759033,4985496
2020-01-20,2752.000000,2800.000000,2746.000000,2788.000000,2456.140381,2448289
2020-01-27,2770.000000,2809.000000,2762.718018,2786.000000,2454.378174,3490323
2020-02-03,2773.000000,2862.000000,2772.728027,2810.000000,2475.521484,2952093
2020-02-10,2800.000000,2933.000000,2772.000000,2840.000000,2501.950439,4663629
2020-02-17,2828.000000,2874.000000,2777.000000,2798.000000,2464.949951,3757037
2020-02-24,2759.000000,2768.000000,2451.000000,2474.000000,2179.516113,8440853
2020-03-02,2532.000000,2619.000000,2452.000000,2472.000000,2177.754150,4647317
2020-03-09,2322.000000,2356.000000,1699.500000,1851.500000,1631.113281,8742517
2020-03-16,1749.500000,1769.000000,1393.099976,1692.500000,1491.039307,12243973
2020-03-23,1634.000000,1935.000000,1583.500000,1628.000000,1434.216797,9977032
2020-03-30,1616.000000,1824.500000,1477.500000,1666.500000,1468.134033,6763436
2020-04-06,1696.000000,2029.000000,1695.000000,2029.000000,1787.485229,5571389
2020-04-13,2029.000000,2058.000000,1872.500000,2005.000000,1766.341919,3791473
2020-04-20,2009.000000,2022.000000,1859.000000,1975.000000,1739.912720,5301344
2020-04-27,2013.000000,2134.000000,1976.000000,1992.000000,1754.889282,6289477
2020-05-04,1998.000000,1998.000000,1858.000000,1896.500000,1670.756714,3762541
2020-05-11,1939.500000,1939.500000,1747.500000,1813.000000,1597.195923,5299530
2020-05-18,1847.500000,1919.000000,1811.000000,1874.000000,1650.935059,8901522
2020-05-25,1874.000000,2109.500000,1874.000000,2038.000000,1795.413818,7403039
2020-06-01,2022.000000,2182.000000,2012.000000,2164.000000,1906.415771,3985011
2020-06-08,2176.000000,2245.000000,1964.500000,2056.000000,1811.271484,5812719
2020-06-15,2013.000000,2177.000000,1996.699951,2103.000000,1852.676758,4931659
2020-06-22,2094.000000,2147.000000,2000.000000,2057.000000,1812.152222,5955564
2020-06-29,1954.500000,2080.893066,1894.500000,1972.500000,1737.710449,6008384
2020-07-06,2009.000000,2084.000000,1942.500000,2031.000000,1845.816895,4074023
2020-07-13,2057.000000,2132.000000,2008.000000,2092.000000,1901.255005,3026481
2020-07-20,2063.000000,2118.000000,2022.000000,2059.000000,1871.263916,3229151
2020-07-27,2059.000000,2076.000000,2002.000000,2003.000000,1820.369873,2896572
2020-08-03,2020.000000,2224.000000,1975.139038,2119.000000,1925.793213,7608475
2020-08-10,2117.000000,2179.000000,2069.000000,2109.000000,1916.705078,2792365
2020-08-17,2103.000000,2146.000000,2014.000000,2018.000000,1834.002319,2409327
