Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2701.000000,2768.000000,2617.500000,2631.000000,2282.654297,8163190
2019-08-05,2607.000000,2693.000000,2553.000000,2641.000000,2291.330566,8723011
2019-08-12,2642.000000,2725.000000,2569.000000,2639.000000,2289.595215,8204724
2019-08-19,2645.000000,2693.000000,2580.000000,2644.000000,2293.933105,11475669
2019-08-26,2644.000000,2798.000000,2612.000000,2737.000000,2374.619873,8160829
2019-09-02,2731.000000,2798.000000,2728.000000,2743.000000,2379.825439,6317864
2019-09-09,2750.000000,2889.000000,2711.000000,2837.000000,2479.177490,9942178
2019-09-16,2811.000000,2818.000000,2700.379883,2728.000000,2383.925293,15503103
2019-09-23,2733.000000,2786.000000,2644.000000,2775.000000,2424.997314,11153847
2019-09-30,2767.000000,2814.000000,2605.000000,2668.000000,2331.492920,11165752
2019-10-07,2657.000000,2741.000000,2597.000000,2710.000000,2368.195313,10668024
2019-10-14,2708.000000,2774.000000,2675.000000,2713.000000,2370.817139,9166487
2019-10-21,2724.000000,2849.000000,2707.000000,2848.000000,2488.790039,7374140
2019-10-28,2850.000000,2901.000000,2787.000000,2852.000000,2492.284912,9817417
2019-11-04,2872.000000,2902.000000,2830.000000,2851.000000,2491.411621,7803840
2019-11-11,2846.000000,2908.000000,2806.000000,2886.000000,2521.997314,6766688
2019-11-18,2898.000000,2918.270020,2822.000000,2900.000000,2534.231445,11166583
2019-11-25,2894.000000,3053.000000,2894.000000,2950.000000,2577.925293,9717080
2019-12-02,2944.000000,2980.000000,2875.000000,2950.000000,2577.925293,9739056
2019-12-09,2939.000000,3037.000000,2893.000000,2985.000000,2608.510498,6730317
2019-12-16,2996.000000,3080.000000,2977.000000,3056.000000,2670.555420,11701303
2019-12-23,3053.000000,3108.000000,3040.000000,3100.000000,2709.005859,2265155
2019-12-30,3095.000000,3116.000000,3024.000000,3052.000000,2667.060059,2941906
2020-01-06,3013.000000,3068.000000,2981.000000,2986.000000,2609.384521,8161376
2020-01-13,3003.000000,3048.000000,2923.000000,2967.000000,2592.780762,11499790
2020-01-20,2962.000000,2987.000000,2892.000000,2956.000000,2583.168457,8233121
2020-01-27,2933.000000,2967.000000,2852.000000,2856.000000,2495.781250,7745156
2020-02-03,2878.000000,3019.000000,2858.000000,2978.000000,2602.393555,6224329
2020-02-10,2958.000000,3059.000000,2954.000000,2977.000000,2601.519775,6134999
2020-02-17,2987.000000,2987.000000,2888.000000,2904.000000,2537.726807,9135363
2020-02-24,2850.000000,2865.925049,2570.000000,2639.000000,2306.150635,14752035
2020-03-02,2721.000000,2812.000000,2602.000000,2649.000000,2314.889160,15240267
2020-03-09,2540.000000,2540.000000,2016.000000,2083.000000,1820.276978,22416810
2020-03-16,1875.000000,2024.000000,1500.000000,1775.000000,1594.555786,19917771
2020-03-23,1670.000000,2311.000000,1596.581055,2069.000000,1858.668213,17657071
2020-03-30,2099.000000,2311.000000,1995.000000,2135.000000,1917.958618,13814840
2020-04-06,2183.000000,2417.000000,2169.000000,2399.000000,2155.120850,11962440
2020-04-13,2399.000000,2399.000000,2064.000000,2220.000000,1994.317505,19896018
2020-04-20,2230.000000,2313.000000,2124.000000,2288.000000,2055.405273,9908735
2020-04-27,2326.000000,2594.000000,2321.000000,2347.000000,2108.406982,9212271
2020-05-04,2268.000000,2438.000000,2248.000000,2366.000000,2125.475586,8417568
2020-05-11,2415.000000,2421.000000,2181.000000,2272.000000,2041.031494,10649836
2020-05-18,2326.000000,2508.000000,2326.000000,2452.000000,2202.732910,8770940
2020-05-25,2452.000000,2697.000000,2452.000000,2621.000000,2354.552734,7409323
2020-06-01,2627.000000,2954.000000,2591.000000,2929.000000,2631.241699,8186328
2020-06-08,2882.000000,2939.000000,2608.159912,2676.000000,2403.961426,10086645
2020-06-15,2593.000000,2949.000000,2603.000000,2870.000000,2578.239746,21387965
2020-06-22,2830.000000,2907.000000,2690.000000,2749.000000,2469.540527,11073650
2020-06-29,2767.000000,2907.000000,2730.000000,2865.000000,2573.747803,6641358
2020-07-06,2954.000000,2977.000000,2780.000000,2888.000000,2594.409668,5657910
2020-07-13,2906.000000,3068.000000,2840.000000,3042.000000,2732.754150,6131883
2020-07-20,3014.000000,3119.000000,2962.000000,2981.000000,2677.955811,4595489
2020-07-27,2977.000000,3045.000000,2764.000000,2766.000000,2484.812012,5739404
2020-08-03,2755.000000,2957.000000,2755.000000,2955.000000,2654.598633,7102068
2020-08-10,2971.000000,3118.000000,2961.000000,2995.000000,2690.532227,3333585
2020-08-17,2978.000000,3092.000000,2903.000000,2977.000000,2674.362061,6068406
2020-08-24,2992.000000,3063.000000,2494.689941,2830.000000,2542.305908,11760317
2020-08-31,2830.000000,2875.000000,2696.000000,2740.000000,2461.455078,4946937
2020-09-07,2757.000000,2964.000000,2738.000000,2928.000000,2651.054688,6346792
2020-09-14,2959.000000,3044.000000,2813.958984,2928.000000,2651.054688,7917440
2020-09-21,2901.000000,2901.000000,2724.551025,2802.000000,2536.972412,7060633
2020-09-28,2842.000000,2881.000000,2731.000000,2800.000000,2535.161865,4920960
2020-10-05,2825.000000,3093.000000,2809.000000,3038.000000,2750.650391,5905031
2020-10-12,3047.000000,3062.000000,2856.908936,2970.000000,2689.082275,5724393
2020-10-19,2986.000000,2998.000000,2785.000000,2845.000000,2575.905273,3530721
2020-10-26,2809.000000,2866.000000,2577.459961,2720.000000,2462.728516,5054565
2020-11-02,2745.000000,2962.000000,2728.000000,2883.000000,2610.311035,12774388
2020-11-09,2937.000000,3102.000000,2883.000000,3000.000000,2716.244385,7898746
2020-11-16,3024.000000,3076.000000,2962.000000,2989.000000,2706.284912,5345770
2020-11-23,3024.000000,3183.000000,2949.000000,3043.000000,2755.177490,11309263
2020-11-30,3031.000000,3156.000000,2899.354980,3103.000000,2809.502441,7404657
2020-12-07,3116.000000,3121.000000,2961.000000,2966.000000,2685.460449,5111649
2020-12-14,3014.000000,3162.000000,2946.000000,3162.000000,2862.921875,15734277
2020-12-21,3118.000000,3179.000000,3004.000000,3136.000000,2839.381104,3201361
2020-12-28,3136.000000,3182.000000,3058.000000,3058.000000,2768.758545,1662911
