Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2452.000000,2546.000000,2447.000000,2479.000000,2341.423584,6565656
2019-08-05,2459.000000,2587.000000,2429.000000,2544.000000,2402.816406,12055284
2019-08-12,2545.000000,2566.000000,2474.000000,2518.000000,2378.259277,5774336
2019-08-19,2523.000000,2572.000000,2501.000000,2515.000000,2375.425293,6648453
2019-08-26,2515.000000,2547.000000,2490.264893,2518.000000,2378.259277,9125213
2019-09-02,2518.000000,2632.000000,2513.000000,2631.000000,2484.988037,8728317
2019-09-09,2631.000000,2641.000000,2444.000000,2468.000000,2331.034180,13252624
2019-09-16,2430.000000,2559.000000,2418.000000,2538.000000,2397.149170,10847883
2019-09-23,2543.000000,2620.000000,2480.969971,2595.000000,2450.986084,13880244
2019-09-30,2587.000000,2614.000000,2449.000000,2532.000000,2391.482422,10915085
2019-10-07,2525.000000,2587.000000,2449.000000,2483.000000,2345.201904,8838624
2019-10-14,2484.000000,2507.800049,2365.000000,2371.000000,2239.416992,14093535
2019-10-21,2379.000000,2395.000000,2315.000000,2391.000000,2258.307617,9380355
2019-10-28,2383.000000,2478.000000,2367.739990,2420.000000,2285.697998,7651261
2019-11-04,2424.000000,2446.000000,2327.000000,2388.000000,2255.473877,7693782
2019-11-11,2388.000000,2497.000000,2347.729980,2438.000000,2302.699219,19447664
2019-11-18,2451.000000,2511.000000,2374.000000,2511.000000,2371.647949,13417550
2019-11-25,2525.000000,2581.000000,2500.000000,2563.000000,2420.761719,8604195
2019-12-02,2548.000000,2569.000000,2424.000000,2472.000000,2334.812012,8036458
2019-12-09,2461.000000,2481.000000,2397.000000,2447.000000,2311.199707,7517048
2019-12-16,2468.000000,2578.000000,2460.000000,2557.000000,2415.094971,15800040
2019-12-23,2558.000000,2622.000000,2552.000000,2593.000000,2449.097168,3171378
2019-12-30,2590.000000,2599.000000,2448.000000,2550.000000,2408.483154,3424894
2020-01-06,2521.000000,2591.000000,2505.485107,2569.000000,2437.031006,9738392
2020-01-13,2569.000000,2702.000000,2562.000000,2650.000000,2513.869873,9162584
2020-01-20,2644.000000,2720.000000,2589.000000,2693.000000,2554.660889,10198810
2020-01-27,2648.000000,2724.000000,2622.000000,2637.000000,2501.537842,7710544
2020-02-03,2670.000000,2784.000000,2654.000000,2761.000000,2619.168213,8308029
2020-02-10,2750.000000,2838.000000,2743.000000,2823.000000,2677.982666,7638895
2020-02-17,2826.000000,2926.000000,2791.000000,2863.000000,2715.928223,8390104
2020-02-24,2825.000000,2835.000000,2523.000000,2591.000000,2457.900635,12336119
2020-03-02,2668.000000,2859.000000,2600.969971,2618.000000,2483.513916,13882811
2020-03-09,1833.000000,2520.000000,1824.000000,2145.000000,2034.811890,17800736
2020-03-16,1996.000000,2145.000000,1836.500000,2036.000000,1931.411011,20060129
2020-03-23,1907.000000,2480.000000,1823.500000,2293.000000,2175.209229,21793978
2020-03-30,2300.000000,2449.899902,2079.225098,2114.000000,2005.404175,14321050
2020-04-06,2147.000000,2312.000000,2101.000000,2252.000000,2136.314941,10247549
2020-04-13,2252.000000,2412.000000,2161.000000,2378.000000,2255.842773,10200577
2020-04-20,2387.000000,2440.000000,2258.000000,2258.000000,2142.007324,21032359
2020-04-27,2300.000000,2526.000000,2288.000000,2350.000000,2229.281006,10454009
2020-05-04,2346.000000,2616.000000,2320.000000,2601.000000,2467.386963,14975084
2020-05-11,2648.000000,2651.000000,2336.000000,2401.000000,2277.660889,10209266
2020-05-18,2448.000000,2765.000000,2427.000000,2676.000000,2538.534668,11798322
