Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,217.600006,231.399994,213.199997,221.199997,221.199997,5790178
2019-08-05,219.600006,240.600006,213.600006,236.800003,236.800003,4140753
2019-08-12,235.600006,240.199997,206.399994,229.800003,229.800003,7650728
2019-08-19,226.399994,252.399994,226.399994,246.600006,246.600006,3885187
2019-08-26,246.600006,253.000000,237.600006,249.199997,249.199997,3307558
2019-09-02,250.199997,257.600006,230.199997,255.600006,255.600006,3807503
2019-09-09,256.600006,279.200012,253.399994,279.200012,279.200012,5049509
2019-09-16,279.000000,284.600006,268.899994,279.600006,279.600006,3260396
2019-09-23,278.600006,282.000000,269.195007,274.799988,274.799988,2378031
2019-09-30,282.399994,287.200012,274.768005,284.799988,284.799988,5151657
2019-10-07,284.600006,299.799988,268.799988,297.799988,297.799988,3624822
2019-10-14,297.399994,325.600006,277.839996,325.600006,325.600006,5367119
2019-10-21,320.200012,327.799988,306.399994,310.600006,310.600006,2407450
2019-10-28,310.600006,322.799988,303.000000,314.200012,314.200012,2875894
2019-11-04,306.399994,323.799988,306.399994,319.200012,319.200012,1996731
2019-11-11,316.600006,328.399994,309.399994,321.600006,321.600006,2164842
2019-11-18,321.200012,342.000000,321.200012,336.399994,336.399994,2375371
2019-11-25,335.799988,342.600006,332.000000,337.200012,337.200012,2310297
2019-12-02,335.000000,355.000000,327.399994,352.000000,352.000000,2935428
2019-12-09,354.000000,378.799988,340.600006,360.000000,360.000000,3206694
2019-12-16,373.000000,478.799988,370.000000,474.600006,474.600006,10082375
2019-12-23,479.799988,481.200012,465.049011,469.200012,469.200012,1448823
2019-12-30,460.200012,475.200012,450.399994,472.600006,472.600006,2275452
2020-01-06,466.200012,492.799988,462.399994,490.799988,490.799988,2487405
2020-01-13,498.600006,536.348999,484.799988,514.500000,514.500000,4055436
2020-01-20,516.500000,522.099976,505.500000,509.500000,509.500000,1232392
2020-01-27,505.000000,509.100006,468.600006,471.399994,471.399994,2121043
2020-02-03,467.000000,500.049988,461.915009,464.600006,464.600006,3810343
2020-02-10,475.399994,498.200012,459.000000,490.000000,490.000000,2525259
2020-02-17,479.399994,510.000000,476.399994,491.799988,491.799988,4888021
2020-02-24,498.600006,498.600006,378.200012,383.799988,383.799988,4385172
2020-03-02,394.200012,399.399994,316.799988,329.399994,329.399994,5923055
2020-03-09,326.200012,330.338989,246.600006,250.600006,250.600006,6543726
2020-03-16,240.800003,253.783997,175.500000,230.399994,230.399994,11039909
2020-03-23,226.000000,286.399994,210.199997,210.199997,210.199997,3838719
2020-03-30,216.399994,263.399994,174.199997,185.199997,185.199997,4831099
2020-04-06,189.000000,238.800003,188.199997,230.800003,230.800003,4129538
2020-04-13,230.800003,250.000000,204.399994,230.000000,230.000000,4006942
2020-04-20,235.000000,240.600006,220.600006,226.600006,226.600006,3101457
2020-04-27,232.399994,273.804993,225.740005,251.600006,251.600006,3340589
2020-05-04,250.399994,262.401001,238.197998,251.800003,251.800003,1167256
2020-05-11,258.399994,266.799988,228.307999,244.000000,244.000000,3793218
2020-05-18,251.600006,277.399994,249.000000,266.000000,266.000000,2099340
2020-05-25,266.000000,330.600006,266.000000,306.600006,306.600006,3734154
2020-06-01,312.200012,371.600006,305.000000,367.200012,367.200012,7840249
2020-06-08,370.000000,386.311005,309.009003,323.000000,323.000000,2596238
2020-06-15,335.010010,357.190002,307.639008,329.200012,329.200012,2455664
2020-06-22,322.000000,336.351990,295.993988,306.000000,306.000000,1655225
2020-06-29,297.799988,329.000000,290.945007,320.600006,320.600006,1560857
2020-07-06,326.200012,334.760986,301.399994,310.799988,310.799988,2111345
2020-07-13,316.000000,325.200012,282.600006,295.200012,295.200012,1133015
2020-07-20,288.799988,298.799988,270.730988,273.399994,273.399994,803983
2020-07-27,278.799988,285.000000,251.800003,251.800003,251.800003,716479
2020-08-03,255.000000,280.200012,244.337997,270.200012,270.200012,1063329
2020-08-10,272.000000,308.600006,269.600006,283.399994,283.399994,1467215
2020-08-17,277.399994,370.000000,277.399994,346.399994,346.399994,4036896
2020-08-24,350.000000,359.799988,335.600006,350.000000,350.000000,1413837
2020-08-31,350.000000,372.399994,340.399994,364.000000,364.000000,1985292
2020-09-07,367.600006,377.200012,349.399994,361.000000,361.000000,2728728
2020-09-14,365.000000,383.600006,354.000000,361.600006,361.600006,1599800
2020-09-21,357.399994,362.399994,332.399994,339.799988,339.799988,1602858
2020-09-28,345.600006,363.600006,323.899994,348.399994,348.399994,2121761
2020-10-05,356.799988,378.000000,345.600006,368.600006,368.600006,809927
2020-10-12,376.399994,379.182007,341.799988,354.799988,354.799988,1298425
2020-10-19,361.000000,379.000000,347.399994,375.000000,375.000000,691666
2020-10-26,369.799988,406.200012,360.799988,374.799988,374.799988,1167196
2020-11-02,364.799988,404.399994,330.826996,399.000000,399.000000,1510746
2020-11-09,407.799988,480.399994,390.000000,461.200012,461.200012,1773994
2020-11-16,472.600006,480.399994,459.554993,472.000000,472.000000,1826377
2020-11-23,463.799988,484.799988,435.799988,447.200012,447.200012,1526552
2020-11-30,447.200012,451.920013,416.799988,433.799988,433.799988,2982935
2020-12-07,430.000000,508.000000,417.600006,431.200012,431.200012,2741693
2020-12-14,438.399994,497.000000,432.600006,475.000000,475.000000,2085691
2020-12-21,449.000000,490.570007,419.399994,453.600006,453.600006,1482185
2020-12-28,453.600006,464.600006,442.399994,451.399994,451.399994,536506
2021-01-04,463.200012,472.600006,438.399994,459.600006,459.600006,1186666
2021-01-11,453.799988,465.600006,381.766998,436.799988,436.799988,1163829
2021-01-18,445.000000,448.600006,428.158997,436.000000,436.000000,1719455
2021-01-25,436.600006,441.557007,417.000000,427.200012,427.200012,3443126
2021-02-01,435.000000,481.000000,417.799988,477.600006,477.600006,1585596
2021-02-08,476.799988,479.799988,438.399994,448.799988,448.799988,1167472
2021-02-15,448.000000,475.000000,445.608002,453.600006,453.600006,891234
2021-02-22,454.600006,485.000000,453.000000,469.200012,469.200012,1290261
2021-03-01,480.000000,486.000000,451.200012,452.200012,452.200012,2264643
2021-03-08,460.000000,486.200012,450.000000,478.799988,478.799988,1440069
2021-03-15,487.799988,506.000000,480.200012,497.799988,497.799988,1333187
2021-03-22,490.200012,501.500000,452.799988,464.399994,464.399994,1075322
2021-03-29,475.399994,482.200012,450.799988,480.399994,480.399994,1152180
2021-04-05,480.399994,512.711975,480.399994,504.000000,504.000000,1020228
2021-04-12,512.500000,514.000000,486.200012,502.500000,502.500000,929806
2021-04-19,491.799988,520.000000,491.799988,515.500000,515.500000,1267918
2021-04-26,505.000000,522.000000,497.799988,515.500000,515.500000,1683595
2021-05-03,515.500000,584.000000,515.500000,579.000000,579.000000,2295129
2021-05-10,576.500000,599.500000,561.046021,577.000000,577.000000,1597042
2021-05-17,579.000000,596.000000,566.000000,578.000000,578.000000,2190411
2021-05-24,565.500000,596.000000,565.500000,579.000000,579.000000,2137287
2021-05-31,579.000000,589.500000,569.500000,578.000000,578.000000,1329441
2021-06-07,575.000000,598.000000,565.765991,574.500000,574.500000,4836884
2021-06-14,580.000000,591.000000,568.005981,577.000000,577.000000,2833594
2021-06-21,588.000000,603.000000,565.500000,600.000000,600.000000,2501122
2021-06-28,600.000000,620.500000,510.000000,615.500000,615.500000,2029077
2021-07-05,623.000000,631.000000,598.000000,611.000000,611.000000,2586334
2021-07-12,609.000000,613.000000,580.859009,594.000000,594.000000,1645307
2021-07-19,589.500000,613.500000,561.000000,595.000000,595.000000,2158142
2021-07-26,590.500000,611.000000,588.000000,603.500000,603.500000,1541693
2021-08-02,587.000000,623.500000,577.000000,587.000000,587.000000,2438717
2021-08-09,589.000000,635.500000,581.500000,628.500000,628.500000,2205443
2021-08-16,621.500000,640.000000,613.500000,630.000000,630.000000,2297971
2021-08-23,628.000000,668.500000,628.000000,662.500000,662.500000,1957271
2021-08-30,662.500000,686.000000,660.500000,679.000000,679.000000,1599039
2021-09-06,699.000000,699.000000,655.500000,666.500000,666.500000,5124212
2021-09-13,673.000000,679.500000,650.000000,656.500000,656.500000,1903960
2021-09-20,670.500000,711.000000,645.000000,701.500000,701.500000,2521637
2021-09-27,708.500000,717.500000,665.000000,666.000000,666.000000,2157512
2021-10-04,648.000000,648.500000,584.000000,621.000000,621.000000,4010993
2021-10-11,610.000000,640.000000,599.984009,637.000000,637.000000,4588327
2021-10-18,625.500000,644.500000,618.500000,629.500000,629.500000,1992699
2021-10-25,635.000000,662.000000,633.500000,643.500000,643.500000,2249919
2021-11-01,655.500000,685.500000,637.500000,671.500000,671.500000,7527751
2021-11-08,675.000000,688.500000,665.500000,679.000000,679.000000,1652933
2021-11-15,673.000000,703.000000,673.000000,698.500000,698.500000,2978975
2021-11-22,698.000000,708.500000,679.400024,683.000000,683.000000,1731675
2021-11-29,687.000000,703.000000,677.000000,696.500000,696.500000,3333772
2021-12-06,703.000000,759.500000,697.500000,732.500000,732.500000,3561334
2021-12-13,716.000000,754.500000,716.000000,740.500000,740.500000,4499646
2021-12-20,723.000000,760.500000,707.500000,745.500000,745.500000,2644712
2021-12-27,745.500000,783.000000,745.500000,771.000000,771.000000,1060130
2022-01-03,771.000000,802.500000,768.000000,785.500000,785.500000,1906822
2022-01-10,800.000000,827.000000,774.500000,774.500000,774.500000,2900251
2022-01-17,774.000000,801.000000,739.500000,752.500000,752.500000,1302531
2022-01-24,749.500000,750.500000,710.500000,724.000000,724.000000,2179329
2022-01-31,730.500000,752.500000,707.000000,707.500000,707.500000,1186233
2022-02-07,702.500000,734.000000,697.200012,712.500000,712.500000,1198684
2022-02-14,696.000000,720.500000,676.601013,682.000000,682.000000,4936727
2022-02-21,698.500000,698.500000,606.000000,638.500000,638.500000,2756409
2022-02-28,656.000000,656.000000,556.500000,566.500000,566.500000,3117404
2022-03-07,557.500000,631.500000,523.500000,613.500000,613.500000,2877960
2022-03-14,614.000000,670.908997,610.500000,662.000000,662.000000,2993496
2022-03-21,669.000000,679.500000,649.500000,672.500000,672.500000,2916120
2022-03-28,659.500000,705.000000,633.702026,656.000000,656.000000,8750804
2022-04-04,662.000000,694.000000,643.000000,664.000000,664.000000,4066297
2022-04-11,674.000000,702.000000,653.000000,698.500000,698.500000,2488067
2022-04-18,698.500000,718.000000,688.000000,690.000000,690.000000,1736358
2022-04-25,675.500000,700.000000,662.000000,679.000000,679.000000,2570291
2022-05-02,687.500000,703.000000,646.500000,658.500000,658.500000,4641621
2022-05-09,646.000000,693.000000,645.000000,685.000000,685.000000,3975755
2022-05-16,671.500000,701.500000,653.000000,662.000000,662.000000,3458174
2022-05-23,666.500000,697.000000,611.000000,689.500000,689.500000,3733345
2022-05-30,694.000000,706.000000,677.500000,698.500000,698.500000,4308583
2022-06-06,700.000000,707.500000,673.500000,673.500000,673.500000,2836206
2022-06-13,676.000000,676.000000,573.650024,606.000000,606.000000,5922858
2022-06-20,624.000000,670.000000,610.000000,668.500000,668.500000,2410502
2022-06-27,660.000000,682.000000,652.000000,665.000000,665.000000,2014751
2022-07-04,682.500000,700.000000,652.500000,698.000000,698.000000,2204655
2022-07-11,695.000000,709.000000,676.500000,707.500000,707.500000,2465876
2022-07-18,713.000000,1001.685974,702.000000,942.000000,942.000000,8922354
2022-07-25,926.000000,943.500000,863.000000,896.500000,896.500000,2846481
2022-08-01,896.000000,909.500000,869.000000,884.000000,884.000000,2509606
2022-08-08,889.000000,912.500000,868.000000,887.500000,887.500000,1727902
2022-08-15,865.500000,907.000000,862.000000,877.000000,877.000000,1283187
2022-08-22,853.000000,880.000000,806.000000,810.000000,810.000000,2491535
2022-08-29,810.000000,825.057007,781.500000,802.000000,802.000000,1568870
2022-09-05,795.500000,837.000000,772.500000,812.000000,812.000000,2110974
2022-09-12,818.500000,862.000000,776.500000,786.000000,786.000000,8011325
2022-09-19,786.000000,792.500000,739.000000,741.000000,741.000000,2317595
2022-09-26,741.000000,750.500000,653.500000,678.000000,678.000000,3251796
2022-10-03,673.000000,693.000000,640.500000,645.000000,645.000000,2531462
2022-10-10,640.500000,657.000000,607.000000,641.000000,641.000000,4733490
2022-10-17,632.500000,669.500000,610.000000,621.000000,621.000000,2374100
2022-10-24,638.000000,671.000000,621.000000,645.500000,645.500000,1824355
2022-10-31,650.000000,677.000000,634.500000,667.500000,667.500000,2115511
2022-11-07,685.000000,799.500000,677.500000,793.000000,793.000000,4739122
2022-11-14,803.000000,824.500000,723.500000,823.000000,823.000000,3322188
2022-11-21,823.500000,898.500000,812.500000,888.000000,888.000000,2781858
2022-11-28,889.000000,921.744995,879.500000,888.000000,888.000000,9590348
2022-12-05,885.500000,911.500000,780.500000,782.500000,782.500000,8562718
2022-12-12,782.500000,784.276001,723.500000,735.000000,735.000000,7713050
2022-12-19,749.500000,749.500000,717.000000,728.000000,728.000000,4649589
2022-12-26,728.000000,729.500000,702.500000,710.000000,710.000000,913396
2023-01-02,712.000000,776.000000,712.000000,758.000000,758.000000,1665243
2023-01-09,762.000000,773.000000,713.000000,768.000000,768.000000,2713328
