Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,5711.000000,5751.000000,5469.000000,5482.000000,5112.924316,1850060
2019-08-05,5400.000000,5406.000000,5100.000000,5341.000000,4981.416992,3346937
2019-08-12,5401.000000,5401.000000,5066.000000,5121.000000,4776.228516,3215104
2019-08-19,5185.000000,5256.000000,5095.000000,5109.000000,4765.036133,2564001
2019-08-26,5109.000000,5156.000000,5046.000000,5125.000000,4779.958984,2481922
2019-09-02,5117.000000,5199.000000,5038.000000,5123.000000,4808.311035,2176868
2019-09-09,5150.000000,5168.000000,4966.500000,5059.000000,4748.242188,2556994
2019-09-16,5001.000000,5100.000000,4945.000000,4991.000000,4684.419434,2918979
2019-09-23,5007.000000,5108.000000,4910.500000,5053.000000,4742.610840,2822294
2019-09-30,5028.000000,5109.000000,4765.500000,4838.500000,4541.286621,2321676
2019-10-07,4826.000000,5057.000000,4731.000000,4762.000000,4469.486328,2002217
2019-10-14,4783.500000,5057.000000,4520.000000,4520.000000,4242.351563,2816582
2019-10-21,4543.500000,4646.000000,4501.000000,4634.000000,4349.348633,2385120
2019-10-28,4644.000000,4755.500000,4595.700195,4711.500000,4422.087402,2604700
2019-11-04,4730.000000,4846.000000,4694.500000,4784.500000,4490.603516,2065242
2019-11-11,4784.500000,4838.000000,4705.000000,4761.000000,4468.546875,1725691
2019-11-18,4786.500000,4870.500000,4583.500000,4749.000000,4457.284668,2386100
2019-11-25,4745.000000,5086.000000,4745.000000,5007.000000,4699.436523,2765121
2019-12-02,5000.000000,5059.000000,4710.000000,4834.500000,4537.532715,2469375
2019-12-09,4834.000000,5064.000000,4731.500000,4890.000000,4589.623047,2347386
2019-12-16,4930.000000,5149.000000,4929.500000,5146.000000,4829.897949,3329753
2019-12-23,5150.000000,5273.000000,5088.000000,5220.000000,4899.352539,820644
2019-12-30,5229.000000,5297.000000,5165.000000,5189.000000,4870.256348,1136842
2020-01-06,5160.000000,5172.339844,5008.000000,5020.000000,4711.637695,1829015
2020-01-13,5027.000000,5182.000000,5019.000000,5157.000000,4840.222168,1604037
2020-01-20,5139.000000,5165.000000,4793.000000,4806.000000,4510.783203,1848363
2020-01-27,4700.000000,4801.500000,4493.500000,4685.500000,4397.685059,4017020
2020-02-03,4694.000000,5001.000000,4651.000000,4793.500000,4499.050781,2844919
2020-02-10,4745.500000,4894.000000,4721.500000,4779.000000,4485.441406,2779226
2020-02-17,4883.000000,5147.000000,4726.000000,5022.000000,4713.514648,4519306
2020-02-24,4884.000000,4894.600098,4177.104004,4302.000000,4037.741943,6481864
2020-03-02,4390.000000,4465.500000,3770.000000,4031.500000,3783.858154,6459819
2020-03-09,3700.000000,4069.000000,3296.500000,3351.000000,3145.159180,8444654
2020-03-16,3193.000000,3250.500000,2161.000000,2754.000000,2584.830566,11522329
2020-03-23,2500.000000,3799.500000,2500.000000,3454.000000,3241.831787,8342988
2020-03-30,3487.500000,3660.050049,2817.187012,2841.000000,2666.486816,6321238
2020-04-06,2935.000000,3783.500000,2896.000000,3710.000000,3579.661865,5535769
2020-04-13,3710.000000,3739.000000,3159.000000,3563.000000,3437.826172,3932856
2020-04-20,3563.000000,3617.000000,3350.000000,3362.000000,3243.887451,3445817
2020-04-27,3449.000000,4040.000000,3431.071045,3543.000000,3418.528809,3785428
2020-05-04,3514.000000,3616.000000,3220.000000,3594.000000,3467.737061,3781790
2020-05-11,3681.000000,3722.875000,2989.000000,3237.000000,3123.279053,4624498
2020-05-18,3306.000000,3699.000000,3279.000000,3647.000000,3518.875244,4540875
2020-05-25,3647.000000,4300.000000,3647.000000,3871.000000,3735.005615,4870289
2020-06-01,3880.000000,4340.000000,3812.000000,4314.000000,4162.442383,4323098
2020-06-08,4274.000000,4410.000000,3702.000000,3852.000000,3716.673096,4223317
2020-06-15,3730.000000,4195.799805,3680.000000,3995.000000,3854.649170,3072924
2020-06-22,3925.000000,3996.000000,3484.000000,3626.000000,3498.612793,4423364
2020-06-29,3587.000000,3820.000000,3475.000000,3712.000000,3581.591553,4864254
2020-07-06,3769.000000,3957.212891,3668.000000,3774.000000,3641.413574,5847177
2020-07-13,3846.000000,4066.000000,3710.000000,3878.000000,3741.759766,3437710
2020-07-20,3820.000000,3926.000000,3707.000000,3768.000000,3635.624023,2750360
2020-07-27,3758.000000,3764.000000,3516.000000,3516.000000,3392.477295,1970814
2020-08-03,3541.000000,3919.000000,3445.000000,3911.000000,3773.600098,2523855
2020-08-10,3941.000000,4299.000000,3910.399902,4148.000000,4002.273926,3341808
2020-08-17,4089.000000,4302.000000,3898.000000,4280.000000,4129.637207,5657849
2020-08-24,4300.000000,4543.000000,4052.409912,4406.000000,4251.210449,4019692
2020-08-31,4406.000000,4609.000000,4252.000000,4427.000000,4271.472168,3850296
2020-09-07,4473.000000,4550.000000,4313.000000,4363.000000,4209.720703,3513091
2020-09-14,4416.000000,4505.000000,4052.000000,4137.000000,3991.660645,3380722
2020-09-21,4036.000000,4090.000000,3820.000000,3932.000000,3793.862549,3396826
2020-09-28,3986.000000,4152.000000,3178.271973,4002.000000,3861.403320,4246045
2020-10-05,4054.000000,4415.000000,4028.000000,4339.000000,4186.564453,4740693
2020-10-12,4339.000000,4342.000000,4063.000000,4174.000000,4027.360840,2392889
2020-10-19,4127.000000,4356.000000,4092.000000,4201.000000,4053.412354,3967686
2020-10-26,4092.000000,4263.629883,3697.000000,3916.000000,3778.424805,3048810
2020-11-02,3905.000000,4266.000000,3774.000000,4181.000000,4034.114502,4050493
2020-11-09,4221.000000,4891.000000,4195.000000,4477.000000,4319.715332,6891916
2020-11-16,4507.000000,4860.000000,4456.000000,4494.000000,4336.119141,3318334
2020-11-23,4508.000000,4815.000000,4508.000000,4773.000000,4605.316895,3357404
2020-11-30,4733.000000,5012.000000,4632.000000,4978.000000,4803.114746,3597730
2020-12-07,4985.000000,5014.000000,4715.000000,4778.000000,4610.141602,2423496
2020-12-14,4806.000000,4828.171875,4616.000000,4647.000000,4483.743652,3698368
2020-12-21,4525.000000,4734.089844,4427.000000,4627.000000,4464.446289,1236060
2020-12-28,4627.000000,4862.000000,4627.000000,4690.000000,4525.232910,667913
2021-01-04,4780.000000,4906.000000,4619.000000,4816.000000,4646.806641,3193297
2021-01-11,4843.000000,4914.000000,4739.000000,4848.000000,4677.682129,2082978
2021-01-18,4839.000000,4916.000000,4679.000000,4747.000000,4580.229980,1688498
2021-01-25,4733.000000,4742.000000,4461.000000,4521.000000,4362.169922,3269164
2021-02-01,4511.000000,5106.000000,4439.000000,5076.000000,4897.671875,2431888
2021-02-08,5052.000000,5114.000000,4825.000000,4895.000000,4723.031250,3097283
2021-02-15,4914.000000,5170.000000,4914.000000,5110.000000,4930.477051,1945914
2021-02-22,5014.000000,5568.000000,4968.000000,5002.000000,4826.271484,4150852
2021-03-01,5018.000000,5157.694824,4841.000000,4841.000000,4670.927734,2608736
2021-03-08,4897.000000,5260.000000,4883.000000,5160.000000,4978.721191,1964540
2021-03-15,5198.000000,5258.000000,4951.000000,4993.000000,4817.587402,2981602
2021-03-22,4955.000000,5036.000000,4781.000000,4959.000000,4784.782227,2748644
2021-03-29,4952.000000,5070.000000,4900.000000,5044.000000,4866.796387,1569366
2021-04-05,5044.000000,5226.000000,5044.000000,5162.000000,4980.650879,1326247
2021-04-12,5162.000000,5334.000000,5010.000000,5214.000000,5030.824219,1981205
