Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,6500.000000,7272.000000,6484.000000,6814.000000,6471.933105,5303664
2019-08-05,6788.000000,6880.000000,6552.000000,6840.000000,6496.628418,4947760
2019-08-12,6976.000000,6980.000000,6608.250000,6852.000000,6508.025879,3223408
2019-08-19,6894.000000,7014.000000,6760.000000,6832.000000,6489.029297,2961119
2019-08-26,6832.000000,7032.000000,6784.000000,6954.000000,6624.202148,2495946
2019-09-02,6936.000000,7370.000000,6932.000000,7322.000000,6974.749512,3091332
2019-09-09,7392.000000,7922.000000,6690.000000,7514.000000,7157.643555,11971620
2019-09-16,7434.000000,7434.000000,1656.000000,7250.000000,6906.164063,4758363
2019-09-23,7258.000000,7518.458984,7161.349121,7360.000000,7010.947266,4857448
2019-09-30,7324.000000,7400.000000,6980.000000,7382.000000,7031.904297,3966891
2019-10-07,7400.000000,7500.000000,6950.000000,7300.000000,6953.792969,6782527
2019-10-14,7304.000000,7410.000000,6920.000000,7102.000000,6765.182617,4737606
2019-10-21,7142.000000,7169.899902,6795.292969,6818.000000,6494.652344,4269844
2019-10-28,6838.000000,7168.000000,6795.290039,7038.000000,6704.218750,2746016
2019-11-04,7050.000000,7138.000000,6722.000000,6904.000000,6576.573242,3744100
2019-11-11,6892.000000,7040.000000,6784.000000,6840.000000,6515.608398,2422005
2019-11-18,6868.000000,7002.000000,6708.000000,6838.000000,6513.703125,2470340
2019-11-25,6864.000000,7064.000000,6801.405762,6872.000000,6546.090820,2816094
2019-12-02,6872.000000,6944.296875,6664.000000,6790.000000,6467.979980,2914192
2019-12-09,6796.000000,7214.000000,6708.000000,7172.000000,6831.862793,4983286
2019-12-16,7222.000000,7642.000000,7222.000000,7624.000000,7262.427246,6820695
2019-12-23,7640.000000,7768.000000,7622.000000,7760.000000,7391.976563,1240862
2019-12-30,7770.000000,7816.000000,7580.000000,7638.000000,7275.762207,1342921
2020-01-06,7576.000000,7834.000000,7355.682129,7652.000000,7289.097656,3524600
2020-01-13,7700.000000,7834.000000,7500.000000,7640.000000,7277.667969,2736294
2020-01-20,7628.000000,8150.000000,7566.000000,7950.000000,7572.966797,4547596
2020-01-27,7900.000000,7960.000000,7684.000000,7836.000000,7464.372559,4153414
2020-02-03,7842.000000,8254.000000,7820.000000,8196.000000,7807.299316,2919468
2020-02-10,8248.000000,8280.000000,8106.000000,8220.000000,7830.161133,2027924
2020-02-17,8272.000000,8628.000000,8172.000000,8422.000000,8022.579590,2307544
2020-02-24,8380.000000,8420.969727,7420.000000,7576.000000,7216.702637,5372449
2020-03-02,7824.000000,8120.000000,7092.000000,7592.000000,7231.944336,5754512
2020-03-09,7402.000000,7490.000000,6138.000000,6794.000000,6471.791016,7727033
2020-03-16,6250.000000,6550.000000,5300.000000,6220.000000,5925.012207,9977107
2020-03-23,6008.000000,7768.000000,5818.000000,6948.000000,6618.486328,6875357
2020-03-30,6892.000000,8125.071777,6496.000000,7200.000000,6858.535156,4555741
2020-04-06,7332.000000,7533.299805,6804.000000,7232.000000,6889.017578,3699122
2020-04-13,7232.000000,7592.000000,6982.000000,7482.000000,7127.161621,3077169
2020-04-20,7550.000000,7818.000000,7350.000000,7440.000000,7087.152832,7154544
2020-04-27,7504.000000,7748.000000,7302.000000,7470.000000,7115.729980,4794080
2020-05-04,7486.000000,7836.000000,7328.000000,7828.000000,7506.126953,3634398
2020-05-11,7946.000000,8190.000000,7798.000000,8026.000000,7695.985352,6157221
2020-05-18,8198.000000,8489.990234,8124.000000,8432.000000,8085.291016,3049134
2020-05-25,8432.000000,8623.351563,7838.000000,8030.000000,7699.820801,5457333
2020-06-01,8134.000000,8371.089844,7970.000000,8072.000000,7740.094238,2615444
2020-06-08,8000.000000,8250.000000,7684.000000,7962.000000,7634.616699,3393140
2020-06-15,7880.000000,8248.000000,7792.000000,8238.000000,7899.267578,3179507
2020-06-22,8148.000000,8434.000000,7946.000000,8358.000000,8014.334473,2394450
2020-06-29,8320.000000,8550.000000,8209.950195,8466.000000,8117.893555,3363712
2020-07-06,8584.000000,8596.000000,8236.000000,8352.000000,8008.581543,2009072
2020-07-13,8438.000000,8470.000000,8168.000000,8400.000000,8054.606934,2265352
2020-07-20,8408.000000,8608.000000,8130.000000,8368.000000,8023.922852,1952506
2020-07-27,8374.000000,8658.000000,8258.000000,8484.000000,8135.153320,2748734
2020-08-03,8466.000000,8746.000000,8388.000000,8620.000000,8265.560547,1954680
2020-08-10,8632.000000,8886.000000,8474.000000,8636.000000,8280.902344,2019272
2020-08-17,8578.000000,8893.633789,8578.000000,8852.000000,8488.021484,2819534
2020-08-24,8998.000000,9076.000000,8713.459961,8800.000000,8482.807617,1662805
2020-08-31,8800.000000,9024.000000,8452.000000,8488.000000,8182.054199,2341447
2020-09-07,8488.000000,9096.000000,8488.000000,9030.000000,8704.518555,1811035
2020-09-14,9056.000000,9184.000000,8818.000000,8960.000000,8637.041016,3266687
2020-09-21,8904.000000,8944.000000,8599.490234,8726.000000,8411.475586,2529979
2020-09-28,8738.000000,9198.000000,8734.828125,9198.000000,8866.462891,2589809
2020-10-05,9224.000000,9287.866211,8826.000000,8880.000000,8559.923828,3028118
2020-10-12,8874.000000,8948.000000,8606.000000,8836.000000,8517.510742,3453328
2020-10-19,8846.000000,8897.269531,8382.000000,8438.000000,8133.856445,1988583
2020-10-26,8324.000000,8592.000000,8220.000000,8278.000000,7979.623535,2810735
2020-11-02,8296.000000,8906.000000,8170.000000,8842.000000,8523.294922,3469064
2020-11-09,8970.000000,8996.000000,8150.000000,8394.000000,8091.442871,4318889
2020-11-16,8448.000000,8458.990234,7844.000000,8134.000000,7840.813965,3823987
2020-11-23,8158.000000,8182.000000,7586.000000,7920.000000,7634.526855,4138615
2020-11-30,7918.000000,9000.000000,7902.000000,8634.000000,8322.791016,5626010
2020-12-07,8634.000000,8817.625000,8526.000000,8526.000000,8218.684570,2505208
2020-12-14,8586.000000,9015.519531,8525.311523,8922.000000,8600.410156,4400185
2020-12-21,8888.000000,8976.000000,8710.000000,8878.000000,8557.998047,816297
2020-12-28,8878.000000,9210.000000,8878.000000,9008.000000,8683.309570,809116
2021-01-04,9130.000000,9358.000000,8874.000000,9206.000000,8874.173828,3033395
2021-01-11,9242.000000,9358.000000,8948.000000,9134.000000,8804.768555,2942836
2021-01-18,9144.000000,9296.000000,9038.000000,9120.000000,8791.274414,2124836
2021-01-25,9122.000000,9192.000000,8200.000000,8686.000000,8372.917969,3396787
2021-02-01,8788.000000,9487.559570,8672.000000,9450.000000,9109.379883,3268066
2021-02-08,9498.000000,9830.000000,9478.000000,9800.000000,9446.763672,2807778
2021-02-15,9856.000000,10010.000000,9714.000000,9722.000000,9371.574219,2755181
2021-02-22,9726.000000,9816.000000,9388.000000,9618.000000,9271.324219,5636025
2021-03-01,9690.000000,9886.000000,8114.000000,8124.000000,7831.174316,5706537
2021-03-08,8062.000000,8104.000000,7225.000000,7604.000000,7329.916992,7463589
2021-03-15,7620.000000,7702.000000,7110.000000,7218.000000,6957.830566,14428532
2021-03-22,7132.000000,7334.000000,6994.000000,7108.000000,6851.794922,10021176
2021-03-29,7162.000000,7254.000000,6895.000000,7234.000000,6973.252930,6041807
2021-04-05,7234.000000,7500.000000,7090.000000,7478.000000,7208.458984,5343354
2021-04-12,7472.000000,7949.029785,7382.000000,7700.000000,7422.456543,6073134
2021-04-19,7698.000000,7887.234863,7586.000000,7726.000000,7447.520508,3399856
2021-04-26,7700.000000,7718.000000,7366.000000,7400.000000,7133.270996,4792341
2021-05-03,7400.000000,7462.000000,7080.000000,7170.000000,6959.190430,5871135
2021-05-10,7176.000000,7212.000000,6854.000000,7190.000000,6978.601563,4079756
2021-05-17,7224.000000,7555.272949,7118.000000,7508.000000,7287.252441,3381602
2021-05-24,7570.000000,7630.000000,7326.000000,7574.000000,7351.311035,4353868
2021-05-31,7574.000000,7650.000000,7428.000000,7578.000000,7355.194336,2177381
2021-06-07,7600.000000,7734.000000,7422.000000,7724.000000,7496.901367,3164265
2021-06-14,7758.000000,8016.000000,7706.000000,7966.000000,7731.786133,5316632
2021-06-21,7926.000000,8288.000000,7904.000000,8282.000000,8038.495117,3493801
2021-06-28,8268.000000,8298.000000,7812.000000,7896.000000,7663.844238,2792172
2021-07-05,7866.000000,8106.000000,7780.000000,7872.000000,7640.550293,3129487
2021-07-12,7858.000000,7984.000000,7514.000000,7600.000000,7376.547363,2783769
2021-07-19,7602.000000,7638.000000,7466.000000,7624.000000,7399.841797,3894430
2021-07-26,7578.000000,7602.000000,7220.000000,7490.000000,7269.781738,2860361
2021-08-02,7528.000000,7996.000000,7342.000000,7844.000000,7613.373047,3347596
2021-08-09,7844.000000,8152.000000,7746.000000,7930.000000,7696.844727,3040982
2021-08-16,7838.000000,8120.000000,7824.000000,8036.000000,7799.728516,1945788
2021-08-23,8092.000000,8160.000000,7950.000000,8024.000000,7812.227539,1868964
2021-08-30,8024.000000,8134.000000,7950.000000,8068.000000,7855.067383,2321379
2021-09-06,8100.000000,8230.000000,7996.765137,8126.000000,7911.536133,3473863
2021-09-13,8162.000000,8194.000000,7978.000000,8010.000000,7798.597656,2418629
2021-09-20,7986.000000,8024.000000,7776.000000,7826.000000,7619.453613,1862306
2021-09-27,7888.000000,7922.000000,7314.000000,7448.000000,7251.430176,6046081
2021-10-04,7442.000000,7668.000000,7332.000000,7650.000000,7448.099121,3052581
2021-10-11,7666.000000,8026.000000,7498.000000,7908.000000,7699.289063,2762045
2021-10-18,7854.000000,8102.000000,7532.000000,7600.000000,7399.418457,2948269
2021-10-25,7602.000000,7662.000000,7040.000000,7100.000000,6912.614258,4529907
2021-11-01,7138.000000,7246.000000,6989.745117,7118.000000,6930.139648,4841977
2021-11-08,7152.000000,7170.000000,6901.547852,6938.000000,6754.890625,6242187
2021-11-15,6914.000000,7222.000000,6636.000000,6704.000000,6527.065918,6242728
2021-11-22,6736.000000,6880.520020,6552.000000,6850.000000,6669.212891,5553943
2021-11-29,6890.000000,6926.000000,6502.000000,6524.000000,6351.816895,6685092
2021-12-06,6556.000000,6858.000000,6522.000000,6742.000000,6564.062988,3615928
2021-12-13,6700.000000,6908.000000,6598.000000,6808.000000,6628.321777,5453351
2021-12-20,6728.000000,7050.000000,6648.000000,6984.000000,6799.675781,2123021
2021-12-27,6984.000000,7103.772949,6880.000000,6930.000000,6747.101563,1051168
2022-01-03,6930.000000,7287.490234,6930.000000,7068.000000,6881.458984,2654178
2022-01-10,7102.000000,7492.000000,7050.000000,7424.000000,7228.063965,5116494
2022-01-17,7462.000000,7604.000000,7390.000000,7532.000000,7333.212891,4591785
2022-01-24,7544.000000,7588.000000,6820.000000,6978.000000,6793.834473,6028828
2022-01-31,7028.000000,7386.000000,6936.000000,7144.000000,6955.453613,3340635
2022-02-07,7182.000000,7290.000000,6900.000000,7038.000000,6852.250977,2848456
2022-02-14,6948.000000,6962.000000,6620.000000,6620.000000,6445.283203,2329477
2022-02-21,6672.000000,6692.149902,6230.000000,6476.000000,6305.083496,5034820
2022-02-28,6546.000000,7398.000000,6310.000000,7254.000000,7062.550293,4678661
2022-03-07,7164.000000,7516.000000,6982.000000,7440.000000,7243.642090,5777345
2022-03-14,7492.000000,7970.000000,7418.000000,7960.000000,7749.917480,3605001
2022-03-21,8000.000000,8100.000000,7720.000000,7828.000000,7621.401367,3653671
2022-03-28,7834.000000,8084.000000,7794.000000,8084.000000,7870.644531,3955337
2022-04-04,8072.000000,8534.000000,8046.000000,8504.000000,8279.560547,3384505
2022-04-11,8496.000000,8546.000000,7956.000000,8150.000000,7934.902344,3097469
2022-04-18,8150.000000,8182.000000,7842.000000,8016.000000,7804.439453,2273191
2022-04-25,7942.000000,8198.000000,7812.000000,7916.000000,7707.078613,4371662
2022-05-02,7848.000000,7880.000000,7232.000000,7296.000000,7166.463379,2983460
2022-05-09,7244.000000,7312.000000,7032.000000,7220.000000,7091.812500,3557671
2022-05-16,7262.000000,7419.099121,6928.000000,7270.000000,7140.924805,3470244
2022-05-23,7366.000000,7562.000000,7226.994141,7558.000000,7423.811523,4030987
2022-05-30,7542.000000,7588.000000,7138.000000,7144.000000,7017.162109,2944069
2022-06-06,7192.000000,7356.000000,6932.000000,7052.000000,6926.795410,2741795
2022-06-13,6972.000000,7272.000000,6710.000000,7130.000000,7003.410645,7221149
2022-06-20,7112.000000,7698.000000,6982.000000,7600.000000,7465.065918,3579345
2022-06-27,7630.000000,7832.000000,7484.000000,7558.000000,7423.811523,2752754
2022-07-04,7532.000000,7758.000000,7430.000000,7612.000000,7476.853027,4013693
2022-07-11,7544.000000,7770.000000,7432.000000,7550.000000,7415.953613,2523282
2022-07-18,7576.000000,8042.000000,7542.000000,7852.000000,7712.591797,2637968
2022-07-25,7822.000000,8022.000000,7725.996094,7998.000000,7855.999512,1898927
2022-08-01,8002.000000,8496.000000,7900.000000,8278.000000,8131.029297,3171423
2022-08-08,8312.000000,8410.000000,8028.994141,8184.000000,8038.697754,2978772
2022-08-15,8204.000000,8590.000000,8158.000000,8560.000000,8408.021484,4380324
2022-08-22,8540.000000,8612.000000,8252.000000,8268.000000,8151.845215,2590273
2022-08-29,8268.000000,8306.000000,7868.000000,8006.000000,7893.526367,2493171
2022-09-05,7930.000000,8090.000000,7688.000000,8004.000000,7891.554688,3937098
2022-09-12,7990.000000,8162.000000,7720.000000,7786.000000,7676.617188,4912116
2022-09-19,7786.000000,7786.000000,7300.000000,7468.000000,7363.084473,3360256
2022-09-26,7494.000000,7704.000000,7454.000000,7628.000000,7520.836914,3826504
2022-10-03,7514.000000,8023.457031,7378.000000,7546.000000,7439.988281,3345416
2022-10-10,7524.000000,7604.000000,7188.000000,7292.000000,7189.557129,2491275
2022-10-17,7276.000000,7558.000000,7166.000000,7350.000000,7246.742188,3810461
2022-10-24,7444.000000,7642.000000,7318.000000,7586.000000,7479.426758,3125562
2022-10-31,7586.000000,7764.000000,7488.000000,7700.000000,7591.825195,1862638
2022-11-07,7688.000000,8232.000000,7652.000000,8220.000000,8104.519531,3286673
2022-11-14,8208.000000,8269.000000,7942.000000,8122.000000,8007.896484,2719406
2022-11-21,8086.000000,8264.000000,8044.000000,8116.000000,8001.980469,1614549
2022-11-28,8096.000000,8410.000000,8030.000000,8272.000000,8155.789063,3052242
2022-12-05,8262.000000,8276.000000,7306.000000,7406.000000,7301.955078,3397116
2022-12-12,7700.000000,7766.000000,7258.000000,7340.000000,7236.882813,5366119
2022-12-19,7288.000000,7328.000000,7052.000000,7130.000000,7029.833008,2331420
2022-12-26,7130.000000,7230.000000,7062.000000,7136.000000,7035.748535,1173834
2023-01-02,7150.000000,7316.000000,7094.000000,7160.000000,7059.411133,3254690
2023-01-09,7252.000000,7520.000000,7168.000000,7444.000000,7339.421875,4013116
2023-01-16,7470.000000,7608.000000,7414.000000,7490.000000,7384.775391,4450462
2023-01-23,7502.000000,7562.000000,7140.000000,7386.000000,7282.236816,4809186
2023-01-30,7298.000000,7644.000000,7296.000000,7644.000000,7536.611816,3266382
2023-02-06,7602.000000,7778.000000,7506.000000,7624.000000,7516.892578,2940722
2023-02-13,7638.000000,7848.000000,7568.000000,7614.000000,7507.033203,2908424
2023-02-20,7642.000000,7650.000000,7470.000000,7538.000000,7432.101074,3764795
2023-02-27,7530.000000,7660.000000,7232.000000,7568.000000,7461.679199,5463913
2023-03-06,7550.000000,7656.000000,7250.000000,7362.000000,7258.573730,19015360
2023-03-13,7450.000000,7544.000000,7142.000000,7470.000000,7365.056641,20316894
2023-03-20,7416.000000,7820.000000,7378.000000,7750.000000,7641.122559,9184289
2023-03-27,7786.000000,8893.860352,7736.016113,7868.000000,7757.464844,7065536
2023-04-03,7880.000000,8022.000000,7706.000000,8022.000000,7909.301270,3743297
2023-04-10,8048.000000,8088.000000,7832.000000,7958.000000,7846.200684,4842384
2023-04-17,7914.000000,8084.000000,7802.000000,8084.000000,7970.430664,4564507
2023-04-24,8054.000000,8346.000000,7950.000000,8346.000000,8307.635742,8815082
2023-05-01,8380.000000,8466.000000,8268.000000,8358.000000,8319.581055,4823922
2023-05-08,8358.000000,8592.000000,8316.000000,8554.000000,8514.679688,3580833
2023-05-15,8542.000000,8576.000000,8038.000000,8436.000000,8397.221680,17467515
2023-05-22,8460.000000,8562.000000,8214.000000,8484.000000,8445.001953,14872989
2023-05-29,8484.000000,8618.000000,8428.000000,8494.000000,8454.955078,8936683
2023-06-05,8496.000000,8818.000000,8466.000000,8650.000000,8610.238281,8255862
2023-06-12,8706.000000,8804.200195,8606.000000,8720.000000,8679.916992,7132106
2023-06-19,8730.000000,8730.000000,8342.000000,8422.000000,8383.286133,5638898
2023-06-26,8440.000000,8464.000000,8266.000000,8366.000000,8327.543945,6422461
2023-07-03,8338.000000,8360.000000,7968.000000,8090.000000,8052.812500,5615477
2023-07-10,8110.000000,8318.000000,7970.000000,8290.000000,8251.893555,5372532
2023-07-17,8250.000000,8454.000000,8236.000000,8312.000000,8273.791992,7564329
2023-07-24,8300.000000,8564.000000,8270.000000,8528.000000,8488.798828,6127440
2023-07-31,8518.000000,8542.000000,8450.000000,8462.000000,8423.102539,549179
