Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,363.899994,369.799988,328.200012,338.200012,289.363831,27823070
2019-08-05,333.299988,334.438995,315.700012,332.000000,284.059082,30680276
2019-08-12,334.500000,336.399994,306.299988,313.799988,268.487183,29186468
2019-08-19,316.100006,336.000000,316.100006,324.200012,277.385468,19126662
2019-08-26,324.200012,340.399994,323.100006,340.000000,290.903900,18448419
2019-09-02,338.100006,350.899994,322.399994,348.700012,298.347687,31834987
2019-09-09,351.899994,370.536011,343.100006,367.846985,314.729797,30567204
2019-09-16,363.500000,371.399994,345.000000,345.100006,295.267426,24889127
2019-09-23,347.899994,358.299988,334.000000,354.100006,302.967896,33172729
2019-09-30,356.700012,364.500000,319.799988,335.000000,286.625977,44877415
2019-10-07,335.500000,348.200012,319.691986,345.000000,304.906372,27725746
2019-10-14,347.700012,354.899994,329.500000,338.799988,299.426880,23807369
2019-10-21,338.600006,359.500000,337.188995,359.100006,317.367767,18199311
2019-10-28,360.100006,365.700012,350.700012,362.899994,320.726166,22303624
2019-11-04,364.000000,388.899994,364.000000,383.399994,338.843811,24593460
2019-11-11,382.700012,389.597992,370.299988,388.100006,342.997620,24011318
2019-11-18,390.000000,390.000000,370.320007,379.100006,335.043488,16917535
2019-11-25,376.399994,388.000000,376.399994,381.799988,337.429749,16404127
2019-12-02,379.700012,387.500000,351.000000,370.000000,327.001007,39369213
2019-12-09,365.200012,397.799988,361.700012,386.500000,341.583496,28671204
2019-12-16,386.500000,397.000000,384.500000,391.299988,345.825684,27385541
2019-12-23,391.299988,394.899994,390.100006,393.299988,347.593262,4380882
2019-12-30,389.600006,392.799988,378.799988,387.100006,342.113800,10449395
2020-01-06,381.000000,384.451996,374.799988,375.700012,332.038635,16238366
2020-01-13,378.700012,382.200012,354.100006,358.600006,316.925873,24158494
2020-01-20,358.000000,362.549988,353.299988,356.299988,314.893127,20715497
2020-01-27,352.600006,357.399994,339.000000,340.700012,301.106079,24745186
2020-02-03,345.000000,376.700012,340.500000,366.700012,324.084564,20698411
2020-02-10,365.700012,378.500000,362.851013,365.899994,323.377563,23897378
2020-02-17,362.299988,365.000000,349.200012,356.000000,314.628021,30607975
2020-02-24,348.200012,351.700012,310.100006,314.200012,277.685760,36089754
2020-03-02,315.299988,337.649994,308.399994,322.100006,284.667694,39632506
2020-03-09,295.500000,317.500000,265.100006,275.899994,243.836731,43095034
2020-03-16,250.500000,303.497986,247.800003,274.500000,242.599396,54656475
2020-03-23,256.200012,374.470001,244.800003,278.000000,245.692688,58581019
2020-03-30,279.799988,292.100006,247.399994,254.699997,225.100433,44753750
2020-04-06,260.399994,308.799988,255.399994,308.299988,272.471436,32210539
2020-04-13,308.299988,314.000000,281.100006,285.500000,257.075226,42134552
2020-04-20,290.299988,296.299988,276.399994,286.299988,257.795563,26169614
2020-04-27,292.200012,326.881012,287.799988,301.399994,271.392181,23192460
2020-05-04,301.399994,315.500000,295.065002,313.000000,281.837280,20019150
2020-05-11,317.600006,323.200012,275.000000,295.200012,265.809448,27595612
2020-05-18,298.700012,327.500000,298.700012,326.299988,293.813110,29356706
2020-05-25,326.299988,352.000000,246.000000,339.100006,305.338715,27656194
2020-06-01,340.899994,355.700012,335.299988,349.299988,314.523163,25354496
2020-06-08,354.000000,354.000000,305.500000,320.000000,288.140320,32085645
2020-06-15,309.799988,338.799988,310.964996,333.000000,299.846039,21802179
2020-06-22,331.000000,345.100006,314.200012,326.299988,293.813110,31302531
2020-06-29,325.000000,334.399994,277.799988,291.399994,262.387817,59749607
2020-07-06,285.700012,288.700012,264.500000,271.100006,244.108932,76483897
2020-07-13,273.700012,286.200012,265.000000,281.899994,253.833633,29744186
2020-07-20,281.000000,286.000000,271.183990,276.000000,248.521057,33419974
2020-07-27,278.399994,365.059998,261.200012,261.200012,235.194565,31738353
2020-08-03,263.100006,275.200012,259.789001,268.700012,241.947861,17766759
2020-08-10,271.000000,286.000000,265.299988,278.100006,250.411987,27340966
2020-08-17,277.299988,284.899994,262.799988,265.299988,238.886368,18189277
2020-08-24,267.600006,276.700012,258.700012,258.700012,232.943466,19297977
2020-08-31,258.700012,269.100006,249.399994,266.200012,239.696762,19585309
2020-09-07,267.700012,295.822998,265.799988,279.899994,252.032745,29907407
2020-09-14,280.299988,295.200012,272.954987,286.299988,257.795563,27394216
2020-09-21,282.100006,283.299988,269.200012,278.000000,250.321930,19263771
2020-09-28,285.000000,396.700012,284.500000,307.600006,276.974884,26145087
2020-10-05,310.000000,314.700012,296.700012,305.200012,274.813873,19884796
2020-10-12,306.000000,314.899994,299.700012,313.200012,282.017365,20695986
2020-10-19,314.899994,316.839996,293.100006,295.299988,265.899506,16311372
2020-10-26,288.700012,299.091003,270.700012,283.100006,254.914139,20773195
2020-11-02,283.399994,305.571991,280.136993,293.399994,264.188690,29492680
2020-11-09,295.799988,328.500000,295.500000,326.700012,294.173279,37665413
2020-11-16,327.000000,342.000000,304.809998,325.100006,292.732574,22080337
2020-11-23,326.500000,342.600006,320.614014,337.500000,303.898010,23343537
