Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,1650.500000,1662.500000,1599.000000,1604.000000,1442.417725,3268043
2019-08-05,1576.000000,1576.000000,1525.000000,1556.500000,1399.702759,3703155
2019-08-12,1562.000000,1576.000000,1510.500000,1554.000000,1397.454834,4424027
2019-08-19,1565.000000,1604.000000,1559.000000,1583.500000,1423.982788,3425930
2019-08-26,1583.500000,1685.000000,1542.500000,1669.500000,1501.319580,6631350
2019-09-02,1681.000000,1701.000000,1664.500000,1686.000000,1516.157349,4686744
2019-09-09,1691.500000,1699.500000,1653.500000,1692.000000,1521.552856,5308956
2019-09-16,1672.500000,1685.394043,1606.500000,1638.000000,1472.992798,8838626
2019-09-23,1650.000000,1654.500000,1547.000000,1570.000000,1411.842896,6523482
2019-09-30,1574.000000,1590.500000,1504.500000,1528.000000,1374.073853,5516674
2019-10-07,1521.500000,1577.500000,1518.000000,1577.500000,1418.587402,8194977
2019-10-14,1591.000000,1615.500000,1544.000000,1577.000000,1418.137573,4900773
2019-10-21,1572.000000,1622.037964,1572.000000,1608.000000,1475.123779,3268785
2019-10-28,1614.000000,1644.500000,1596.000000,1640.000000,1504.479492,3207071
2019-11-04,1645.000000,1678.000000,1642.000000,1659.500000,1522.368042,5595472
2019-11-11,1658.000000,1693.998047,1612.500000,1635.000000,1499.892700,4716157
2019-11-18,1633.000000,1671.500000,1604.000000,1642.500000,1506.772827,4653068
2019-11-25,1643.500000,1702.500000,1643.500000,1661.000000,1523.744141,3641061
2019-12-02,1662.500000,1682.000000,1586.000000,1610.000000,1476.958374,5168718
2019-12-09,1601.000000,1650.000000,1580.400024,1619.500000,1485.673462,3358810
2019-12-16,1630.500000,1723.500000,1630.000000,1707.000000,1565.942993,7223809
2019-12-23,1707.500000,1722.000000,1693.000000,1714.500000,1572.823120,1898627
2019-12-30,1706.000000,1739.500000,1673.000000,1709.000000,1567.777710,2516392
2020-01-06,1692.000000,1760.500000,1680.699951,1743.500000,1599.426880,4159342
2020-01-13,1741.000000,1758.109985,1712.500000,1733.000000,1589.794556,3862651
2020-01-20,1730.000000,1760.500000,1709.506958,1742.500000,1598.509521,2919126
2020-01-27,1714.000000,1739.000000,1689.500000,1689.500000,1549.889038,3516337
2020-02-03,1695.000000,1769.500000,1689.704956,1740.000000,1596.215942,4882860
2020-02-10,1722.500000,1778.500000,1722.500000,1738.000000,1594.381226,3067374
2020-02-17,1736.500000,2246.399902,1723.500000,1745.500000,1601.261597,2727103
2020-02-24,1708.000000,1709.000000,1495.500000,1533.000000,1406.321289,7751523
2020-03-02,1589.500000,1592.000000,1401.500000,1410.000000,1293.485474,6619845
2020-03-09,1263.000000,1320.000000,985.799988,1037.000000,951.308105,11272182
2020-03-16,973.799988,1008.000000,790.000000,933.400024,856.268921,18815184
2020-03-23,863.000000,1145.500000,810.000000,1103.000000,1011.854126,11345138
2020-03-30,1098.500000,1226.000000,1059.000000,1060.500000,972.866150,9903244
2020-04-06,1058.000000,1275.500000,1023.500000,1237.000000,1134.781006,7733026
2020-04-13,1237.000000,1262.000000,1119.500000,1185.500000,1087.536743,11332981
2020-04-20,1188.500000,1261.000000,1125.500000,1184.000000,1086.160767,4764562
2020-04-27,1216.000000,1313.500000,1186.500000,1191.500000,1093.040894,4892306
2020-05-04,1183.500000,1250.000000,1155.000000,1250.000000,1146.707031,3416994
2020-05-11,1245.000000,1279.500000,1140.000000,1211.000000,1110.929565,4324889
2020-05-18,1224.000000,1296.000000,1217.500000,1264.000000,1159.549927,3517948
2020-05-25,1264.000000,1360.000000,1264.000000,1306.500000,1198.537964,4626384
2020-06-01,1316.000000,1438.500000,1298.000000,1435.000000,1316.419434,4761881
2020-06-08,1409.000000,1453.090942,1218.796997,1258.000000,1154.045898,4233011
2020-06-15,1220.500000,1340.662964,1216.000000,1323.000000,1213.674561,5126526
2020-06-22,1304.000000,1344.500000,1227.338989,1300.000000,1192.575195,4668956
2020-06-29,1299.000000,1425.000000,1290.500000,1385.500000,1271.009888,4885596
2020-07-06,1415.000000,1479.000000,1385.840942,1430.500000,1312.291382,3508873
2020-07-13,1460.000000,1530.500000,1429.000000,1491.000000,1367.791992,3571075
2020-07-20,1478.000000,1503.500000,1430.500000,1436.000000,1317.336914,3292390
2020-07-27,1432.000000,1453.379028,1354.000000,1355.000000,1243.030151,3558848
2020-08-03,1343.500000,1451.640015,1140.819946,1442.500000,1323.299805,4591434
2020-08-10,1462.000000,1501.500000,1420.500000,1420.500000,1303.117798,2336142
2020-08-17,1416.000000,1456.500000,1396.000000,1422.500000,1304.952393,4211718
2020-08-24,1428.000000,1491.189941,1398.229980,1402.000000,1286.146484,3050828
2020-08-31,1402.000000,1493.500000,1371.500000,1379.500000,1265.505737,2847478
2020-09-07,1366.000000,1435.500000,1366.000000,1422.000000,1304.493774,2277834
2020-09-14,1435.000000,1479.500000,1421.000000,1444.500000,1325.134277,3141402
2020-09-21,1432.500000,1459.500000,1287.500000,1304.500000,1196.703125,4090015
2020-09-28,1316.000000,1429.000000,1308.500000,1404.000000,1287.981201,4333429
2020-10-05,1419.000000,1450.500000,1388.000000,1442.500000,1323.299805,3910266
2020-10-12,1442.000000,1457.000000,1343.500000,1399.000000,1283.394409,4104864
2020-10-19,1400.500000,1426.000000,1309.500000,1423.500000,1305.869751,6297964
2020-10-26,1392.500000,1450.500000,1320.000000,1329.500000,1251.805786,5779855
2020-11-02,1326.000000,1413.000000,1314.000000,1403.000000,1321.010498,4176065
2020-11-09,1421.000000,1558.000000,1419.500000,1503.000000,1415.166748,6447425
2020-11-16,1525.500000,1595.500000,1514.500000,1569.000000,1477.309814,6762514
2020-11-23,1575.500000,1594.500000,1454.000000,1467.500000,1381.741333,5796739
2020-11-30,1476.500000,1583.500000,1456.500000,1573.500000,1481.546631,4793829
2020-12-07,1581.500000,1599.500000,1525.000000,1561.500000,1470.247925,3623457
2020-12-14,1579.000000,1608.000000,1529.000000,1546.500000,1456.124512,5141070
2020-12-21,1518.500000,1560.500000,1483.500000,1522.500000,1433.527100,2738120
2020-12-28,1522.500000,1581.500000,1490.000000,1504.500000,1416.578979,1098339
2021-01-04,1527.000000,1599.000000,1514.000000,1583.500000,1490.962402,3403471
2021-01-11,1583.500000,1584.500000,1470.000000,1495.000000,1407.634155,3825899
2021-01-18,1490.500000,1540.000000,1480.500000,1495.000000,1407.634155,2337545
2021-01-25,1504.000000,1514.500000,1363.000000,1418.500000,1335.604614,4959743
2021-02-01,1424.000000,1539.000000,1424.000000,1486.000000,1399.160156,3811654
2021-02-08,1493.000000,1519.500000,1455.000000,1497.000000,1409.517334,3072456
2021-02-15,1512.000000,1521.000000,1463.000000,1491.500000,1404.338867,2513657
2021-02-22,1480.500000,1542.500000,1455.000000,1464.000000,1378.445679,3493182
2021-03-01,1481.500000,1547.000000,1467.000000,1505.500000,1417.520630,2994035
2021-03-08,1506.500000,1568.500000,1492.000000,1529.500000,1440.118042,2776067
2021-03-15,1526.500000,1738.569946,1469.000000,1483.000000,1396.335327,4400312
2021-03-22,1479.000000,1570.000000,1445.000000,1560.000000,1468.835693,4479167
2021-03-29,1563.500000,1569.500000,1488.910034,1566.500000,1474.955811,3379778
2021-04-05,1566.500000,1621.500000,1566.500000,1613.500000,1519.209106,3423625
2021-04-12,1622.000000,1652.000000,1591.500000,1643.500000,1558.905640,3551005
2021-04-19,1636.500000,1663.000000,1604.000000,1647.000000,1562.225342,3550052
2021-04-26,1645.500000,1669.500000,1622.000000,1625.500000,1541.832153,3648290
2021-05-03,1625.500000,1642.000000,1585.500000,1619.500000,1536.140747,4686309
2021-05-10,1628.500000,1632.500000,1494.000000,1572.000000,1491.085815,3121135
2021-05-17,1568.500000,1573.000000,1503.000000,1549.000000,1469.269775,2673176
2021-05-24,1545.000000,1569.937012,1527.592041,1549.500000,1469.744019,2764513
2021-05-31,1549.500000,1570.500000,1539.000000,1553.500000,1473.538086,2366999
2021-06-07,1559.500000,1617.000000,1548.000000,1608.000000,1525.232910,3302036
2021-06-14,1622.500000,1657.500000,1579.500000,1591.500000,1509.582275,4973644
2021-06-21,1583.500000,1611.500000,1567.000000,1606.500000,1523.810059,2385695
2021-06-28,1604.000000,1625.000000,1577.000000,1620.000000,1536.615112,2551874
2021-07-05,1621.000000,1632.500000,1577.500000,1621.000000,1537.563599,2893480
2021-07-12,1625.000000,1636.000000,1552.000000,1555.000000,1474.960815,3659491
2021-07-19,1536.500000,1593.500000,1479.000000,1591.000000,1509.107910,3355330
2021-07-26,1588.500000,1604.000000,1554.000000,1555.500000,1475.435059,3373482
2021-08-02,1568.500000,1575.500000,1406.000000,1467.000000,1391.490479,7519760
2021-08-09,1468.000000,1501.969971,1428.000000,1471.500000,1395.758789,5898148
2021-08-16,1487.500000,1487.500000,1411.500000,1421.000000,1347.858154,3099579
2021-08-23,1433.500000,1437.500000,1404.500000,1424.500000,1351.177979,3365281
2021-08-30,1424.500000,1475.000000,1424.500000,1440.000000,1365.880127,3959368
2021-09-06,1445.000000,1544.599976,1416.000000,1427.500000,1354.023560,3521125
2021-09-13,1445.000000,1445.000000,1370.000000,1371.500000,1300.906128,3590656
2021-09-20,1352.500000,1414.500000,1347.500000,1375.500000,1304.700073,2834019
2021-09-27,1394.000000,1451.500000,1364.000000,1433.500000,1359.714722,5386772
2021-10-04,1432.500000,1477.000000,1412.000000,1448.000000,1373.468384,3966780
2021-10-11,1433.000000,1446.500000,1403.500000,1416.000000,1343.115479,4095489
2021-10-18,1420.000000,1452.000000,1395.000000,1422.500000,1349.280884,3241913
2021-10-25,1416.000000,1426.500000,1347.500000,1355.500000,1309.171997,3852216
2021-11-01,1363.000000,1438.000000,1347.599976,1435.000000,1385.954834,2989817
2021-11-08,1459.500000,1486.000000,1379.500000,1480.000000,1429.416870,6104323
2021-11-15,1476.500000,1517.500000,1457.500000,1495.500000,1444.387085,5791082
2021-11-22,1502.000000,1528.500000,1441.500000,1449.500000,1399.959106,5718817
2021-11-29,1461.500000,1478.079956,1433.000000,1468.500000,1418.309814,6024314
2021-12-06,1479.000000,1554.500000,1471.500000,1500.000000,1448.733276,3203945
2021-12-13,1504.000000,1558.500000,1472.500000,1548.500000,1495.575684,5413131
2021-12-20,1518.500000,1588.051025,1506.500000,1579.000000,1525.033203,3120232
2021-12-27,1579.000000,1618.000000,1561.500000,1579.500000,1525.516113,1654728
2022-01-03,1579.500000,1628.500000,1579.500000,1599.000000,1544.349731,3601328
2022-01-10,1603.500000,1620.500000,1584.000000,1600.500000,1545.798340,3411887
2022-01-17,1610.000000,1642.000000,1538.000000,1551.000000,1497.990234,5677934
2022-01-24,1544.500000,1564.000000,1495.500000,1540.500000,1487.849121,7705491
2022-01-31,1550.000000,1587.500000,1533.000000,1543.000000,1490.263550,5054992
2022-02-07,1551.000000,1565.500000,1527.500000,1547.000000,1494.126831,5165496
2022-02-14,1518.000000,1561.000000,1504.000000,1514.500000,1462.737671,5167287
2022-02-21,1520.500000,1540.500000,1454.000000,1528.500000,1476.259155,5181065
2022-02-28,1509.500000,1540.500000,1380.000000,1387.500000,1340.078247,6157971
2022-03-07,1343.000000,1444.500000,1323.000000,1429.000000,1380.159912,6432057
