Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,972.599976,987.599976,932.599976,937.200012,773.903503,9553192
2019-08-05,928.799988,1007.000000,897.599976,981.000000,810.071838,25343668
2019-08-12,988.400024,994.200012,929.799988,952.599976,786.620178,25004912
2019-08-19,959.400024,971.799988,940.000000,952.200012,786.289917,16316398
2019-08-26,952.200012,975.799988,936.099976,970.200012,801.153625,10456407
2019-09-02,966.599976,984.400024,960.599976,983.799988,812.383972,9812033
2019-09-09,988.799988,1047.000000,976.599976,1038.000000,857.140198,21037300
2019-09-16,1026.500000,1031.863037,992.400024,1008.000000,832.367310,21098035
2019-09-23,1008.500000,1015.500000,970.599976,999.400024,825.265869,16994008
2019-09-30,997.400024,1034.979980,947.400024,973.799988,804.126282,13404742
2019-10-07,966.599976,974.799988,916.200012,931.000000,786.952759,24353193
2019-10-14,942.200012,973.640015,914.400024,916.200012,774.442688,20539244
2019-10-21,910.599976,988.000000,904.599976,974.400024,823.637878,22071722
2019-10-28,969.599976,989.799988,947.901001,965.400024,816.030334,21269558
2019-11-04,970.200012,1014.500000,967.000000,1007.000000,851.193909,13231287
2019-11-11,1003.000000,1015.500000,984.400024,987.799988,834.964539,12213161
2019-11-18,991.599976,995.000000,964.000000,983.799988,831.583435,12168129
2019-11-25,992.000000,1014.000000,989.000000,1000.500000,845.699585,12215517
2019-12-02,998.400024,1013.000000,943.000000,977.799988,826.511780,16431559
2019-12-09,966.400024,1024.000000,953.799988,1023.000000,864.718262,17747824
2019-12-16,1015.000000,1067.000000,999.479980,1065.000000,900.219910,34029554
2019-12-23,1062.000000,1081.500000,1050.000000,1077.500000,910.785889,5381284
2019-12-30,1074.000000,1085.500000,1051.000000,1070.500000,904.868958,6756176
2020-01-06,1067.500000,1079.500000,1044.633057,1061.000000,896.838867,11641793
2020-01-13,1068.000000,1076.000000,1014.000000,1019.500000,861.759888,19638132
2020-01-20,1003.000000,1031.000000,993.400024,1003.000000,847.812805,13239432
2020-01-27,992.200012,994.056030,945.000000,945.000000,798.786682,21140995
2020-02-03,949.200012,997.400024,944.599976,968.799988,818.904236,19285826
2020-02-10,969.000000,988.400024,959.200012,977.200012,826.004639,17158877
2020-02-17,982.400024,990.458984,966.400024,968.200012,818.397095,12297390
2020-02-24,946.200012,950.280029,729.200012,752.799988,636.324524,38272362
2020-03-02,763.200012,774.799988,694.400024,724.400024,612.318542,37765874
2020-03-09,680.000000,719.857971,537.799988,557.599976,471.326447,44184724
2020-03-16,530.400024,538.400024,450.000000,492.200012,416.045288,65318258
